negative,positive,neutral
"Спасибо, что поделились! Сочувствую, что с Вами так случилось. Мы постараемся скорее принять меры.",Благодарю! Ваш отзыв поднимает мне настроение!,"Благодарю за отклик. Если Вам нужна поддержка, не стесняйтесь мне написать. "
"Мне очень жаль, что у Вас произошла такая ситуация. Наша команда уже работает с Вашим обращением. ",Благодарю Вас! Рады стараться!,Благодарю за обращение. Я всегда рад Вас выслушать.
"Благодарю за отзыв. С подобной жалобой студенты обращаются не в первый раз, мы будем над этим работать.","Благодарю за отзыв! Верю, что в дальнейшем у Вас также будут только положительные впечатления. ","Благодарю за Ваш фидбек. Не забывайте, я всегда здесь, чтобы Вас выслушать."
Вы были услышаны! Я с этим разберусь.,"Благодарю за обратную связь. Мне очень важно, что у Вас все хорошо!  ","Благодарю за Ваше обращение. Я всегда здесь, если захотите еще чем-нибудь со мной поделиться."
"К сожалению, такое действительно характерно для университета. Мы примем меры. ",Благодарю за приятный отзыв!,Благодарю за сообщение. Мне очень важно знать Ваше мнение.
"Я Вас понимаю. Спасибо за то, что поделились со мной своими эмоциями. Я передал Вашу жалобу на рассмотрение.","Вау! Ваш позитивный настрой меня очень радует! Это подтверждает, что Вышка самая лучшая alma mater!",Ваше обращение будет рассмотрено в скором времени. Не стесняйтесь писать мне почаще)
"Мне жаль, что Вы с этим столкнулись. К сожалению, такое случается. Спасибо за отзыв, я уже отправил его на рассмотрение. ","Обязательно зарядите других своей позитивной энергией! Важно, чтобы все вокруг знали, какая Вышка крутая!",Я обязательно учту ваше мнение. Спасибо за обращение.
"Спасибо за отзыв, Ваша точка зрения важна. Пожалуйста, не огорчайтесь. И не стесняйтесь мне писать, если будут еще какие-то трудности!","Так приятно получать положительные отзывы, Вы меня засмущали, спасибо!",Спасибо за отклик. Желаю Вам хорошего дня!
"Надеюсь, Вы не будете из-за этого сильно переживать. Как говорят англичане, cheer up!","Спасибо за комплимент! Надеюсь, университет и дальше будет радовать Вас!",Спасибо за обратную связь! Рассмотрю Ваше обращение в скором времени.
Все мы регулярно преодолеваем трудности. Не позволяйте данной ситуации расстраивать Вас. ,"Спасибо за обратную связь! Как здорово, что университет Вас радует. Я здесь, если появится желание еще раз его похвалить... или поругать (только если немножко).","Спасибо за обратную связь. Желаю Вам получить 9 сегодня! Не 10, потому что на 10 знает только Бог. "
